raw_name,normalized,suggested_id,note
스트로베리 샐러드,스트로베리샐러드,,
컬리플라워,컬리플라워,,
강낭콩,강낭콩,,
건포도 5알,건포도5알,,
가시오가피,가시오가피,,
오리고기(훈제오리 가슴살,오리고기(훈제오리가슴살,,
해초,해초,,
광어,광어,,
백년초국수,백년초국수,,
뽕잎국수,뽕잎국수,,
치자국수,치자국수,,
또띠아,또띠아,,
오미자,오미자,,
고수,고수,,
80g),80g),,
동태,동태,,
퀴노아,퀴노아,,
허브크러스트,허브크러스트,,
코다리,코다리,,
논우렁,논우렁,,
미니버섯,미니버섯,,
시래기,시래기,,
찜갈비,찜갈비,,
건곤드레,건곤드레,,
도토리묵,도토리묵,,
올방개묵,올방개묵,,
검정깨묵 각각,검정깨묵각각,,
크린베리,크린베리,,
소 채끝살,소채끝살,,
황태채,황태채,,
삼색분말,삼색분말,,
소등심,소등심,,
검은깨,검은깨,,
검정깨묵) 각 25g씩,검정깨묵)각25g씩,,
당귀잎,당귀잎,,
청국장가루,청국장가루,,
증편,증편,,
수삼,수삼,,
뽕잎가루,뽕잎가루,,
요리술,요리술,,
말린 매생이,말린매생이,,
석류 원액,석류원액,,
레시틴가루,레시틴가루,,
요리당,요리당,,
꽃게,꽃게,,
아귀,아귀,,
가자미,가자미,,
치킨스톡,치킨스톡,,
백일송이버섯,백일송이버섯,,
북어,북어,,
우렁,우렁,,
실치,실치,,
가다랑어,가다랑어,,
차돌박이,차돌박이,,
홍초,홍초,,
톳,톳,,
소불고기,소불고기,,
매생이,매생이,,
샐러드 : 수삼 1개(20g),샐러드:수삼1개(20g),,
콜리플라워,콜리플라워,,
곁들이채소 : 어린채소 30g,곁들이채소:어린채소30g,,
등갈비,등갈비,,
황태,황태,,
녹차가루,녹차가루,,
라임주스,라임주스,,
만송이버섯,만송이버섯,,
라임,라임,,
곶감,곶감,,
꼬막,꼬막,,
노란콩,노란콩,,
울금가루,울금가루,,
루콜라,루콜라,,
쌈채,쌈채,,
통계피,통계피,,
8개),8개),,
수박 속껍질,수박속껍질,,
근대,근대,,
검정깨,검정깨,,
스위트칠리,스위트칠리,,
돼지갈비,돼지갈비,,
골뱅이,골뱅이,,
황도,황도,,
자몽,자몽,,
복분자,복분자,,
석류주스,석류주스,,
판젤라틴,판젤라틴,,
달래,달래,,
쑥,쑥,,
12g,12g,,
8g,8g,,
어묵,어묵,,
펜네,펜네,,
낙지,낙지,,
쪽갈비,쪽갈비,,
명란젓,명란젓,,
흰추후,흰추후,,
소 : 다진 돼기고기 100g,소:다진돼기고기100g,,
건크랜베리,건크랜베리,,
말린 자두,말린자두,,
페페론치노,페페론치노,,
빨강 각 1개),빨강각1개),,
크래미,크래미,,
매실엑기스,매실엑기스,,
드라이이스트,드라이이스트,,
양고기(부채살,양고기(부채살,,
탈리아텔레,탈리아텔레,,
핑크 페퍼,핑크페퍼,,
2장),2장),,
치아바타,치아바타,,
라임청,라임청,,
그린빈스,그린빈스,,
방아잎,방아잎,,
스테이크 시즈닝,스테이크시즈닝,,
황태 머리,황태머리,,
1장),1장),,
버섯가루,버섯가루,,
카옌 페퍼,카옌페퍼,,
커민,커민,,
한돈(사태),한돈(사태),,
구기자,구기자,,
오미자엑기스,오미자엑기스,,
훈제 오리,훈제오리,,
돈민찌,돈민찌,,
우민찌,우민찌,,
노랑 각 1개),노랑각1개),,
정향,정향,,
